Municipalidade,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total,UF,Latitude,Longitude
ROSÁRIO OESTE,,,,,,,21,,,,21,MT,-14.83,-56.43
SANDOLÂNDIA,,,,,,,,,,26,26,TO,-12.54,-49.93
SANTA MARIA DAS BARREIRAS,53,,,,,,,28,,,81,PA,-8.87,-49.72
SANTA RITA DO TOCANTINS,,,,,,,,,,12,12,TO,-10.86,-48.91
SANTA RITA DO TRIVELATO,73,,,,,,,,,,73,MT,-13.82,-55.28
SANTA ROSA DO TOCANTINS,,,14,,,,,,,,14,TO,-11.45,-48.12
SANTA TEREZINHA,3,,,96,,,,,,,99,MT,-10.47,-50.51
SANTANA DO ARAGUAIA,107,127,91,,,,,,,23,348,PA,-9.33,-50.34
SANTARÉM,,,,,6,,,,,31,37,PA,-2.44,-54.72
SANTO ANTÔNIO DO LEVERGER,,,,,,,,,14,,14,MT,-15.86,-56.07
SÃO BENTO,,,,73,8,,,,,,81,TO,-6.04,-47.92
SÃO DOMINGOS DO ARAGUAIA,,,11,,7,,,15,,,33,PA,-5.55,-48.72
SÃO FÉLIX DO ARAGUAIA,39,9,,,,,,,18,,66,MT,-11.62,-50.66
SÃO FÉLIX DO XINGU,169,44,118,36,93,117,58,76,14,25,750,PA,-6.64,-51.99
SÃO GERALDO,,16,,,,,,,,,16,PA,-6.4,-48.56
SÃO GERALDO DO ARAGUAIA,,7,22,31,2,26,,,13,12,113,PA,-6.4,-48.56
SÃO JOÃO DO ARAGUAIA,17,,,,,,,,,,17,PA,-5.36,-48.79
SÃO JOSÉ DO RIO CLARO,,,,,,,,,,9,9,MT,-13.44,-56.72
SÃO JOSÉ DO XINGU,,,,,,16,,,,,16,MT,-10.8,-52.74
SAPUCAIA,107,,,,,,,,,,107,PA,-6.94,-49.7
SENA MADUREIRA,,,,8,,,,,,,8,AC,-9.07,-68.66
SILVANÓPOLIS,,,7,,,,,,,,7,TO,-11.15,-48.18
SINOP,,53,,,,,,,,7,60,MT,-11.86,-55.5
SORRISO,49,,,,,,9,,,,58,MT,-12.55,-55.73
SOURE,,,,,30,,,,,,30,PA,-0.73,-48.52
SUCUPIRA,,,36,,,,,,,,36,TO,-11.99,-48.91
TABAPORÃ,,,,,,21,,1,,,22,MT,-11.31,-56.82
TAILÂNDIA,,18,,27,,,,6,4,52,107,PA,-2.94,-48.95
TAIPAS DO TOCANTINS,,,,,,17,,,,,17,TO,-12.19,-46.98
TAPURAH,,18,10,,,110,18,7,,,163,MT,-12.73,-56.52
TOMÉ-AÇU,,59,,36,,76,5,,,,176,PA,-2.42,-48.15
TRAIRÃO,,,,,,,5,,,,5,PA,-4.7,-56
TUCUMÃ,,,,,,,4,,,,4,PA,-6.75,-51.14
TUCURUÍ,,,22,26,17,15,,,,,80,PA,-3.77,-49.67
ULIANÓPOLIS,42,31,95,,1113,,,,,9,1290,PA,-3.76,-47.5
UNIÃO DO SUL,,,,19,,,,,,,19,MT,-11.54,-54.37
URUARÁ,,,59,,35,,,,,6,100,PA,-3.71,-53.74
VÁRZEA GRANDE,,,,,,,,24,,,24,MT,-15.66,-56.14
VERA,53,,,,,,,,,,53,MT,-12.28,-55.3
VILA BELA DA SANTÍSSIMA TRINDADE,5,,,,,,,,,,5,MT,-15.01,-59.95
VILA RICA,8,127,,,10,,4,13,,,162,MT,-10.01,-51.12
VISEU,,7,,,,,,,,,7,PA,-1.2,-46.14
VISTA ALEGRE DO ABUNÃ,,,,,,,,11,,,11,RO,-8.77,-63.83
VITÓRIA DO XINGU,,10,,,,,,,,,10,PA,-2.88,-52.01
XAMBIOÁ,,44,16,,,12,,,,,72,TO,-6.41,-48.53
XINGUARA,21,5,24,,,,6,,,,56,PA,-7.1,-49.94
